MacroPlot Name,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-HQ-TX-01,6/23/2021 2:34:00 PM,,,,,,,,,,,,,0,J Barnes; K Gates; J O'Connor,M Neuser,,,,,True,
DENA-HQ-TX-01,6/28/2023 4:23:22 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HQ-TX-26,6/22/2021 5:44:26 PM,,,,,,,,,,,,,0,J Hrobak; M Neuser,J OConnor,,,,,True,
DENA-HZF-Z2-10RL,8/11/2003 6:23:29 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-10RL,8/11/2003 6:23:29 PM,-2147483648,1,0,False,0,5.9,5.9,Default,,,,,,,,,,,,,
DENA-HZF-Z2-10RL,8/11/2003 6:23:29 PM,-2147483647,1,16,False,0.4,4.7,5.1,Default,,,,,,,,,,,,,
DENA-HZF-Z2-10RL,6/22/2005 10:34:02 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-10RL,6/22/2005 10:34:02 AM,-2147483648,1,0,False,0.4,6.3,6.7,Default,,,,,,,,,,,,,
DENA-HZF-Z2-10RL,6/22/2005 10:34:02 AM,-2147483647,1,16,False,0.4,4.3,4.7,Default,,,,,,,,,,,,,
DENA-HZF-Z2-10RL,7/25/2009 3:29:21 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-10RL,8/11/2021 7:54:18 PM,,,,,,,,,,,,,0,J Barnes; M Neuser; W Gautsch,J OConnor,,,,,True,
DENA-A274-F10,7/22/2016 10:13:01 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HQ-TX-12,6/22/2021 2:52:26 PM,,,,,,,,,,,,,0,J Barnes; K Gates; J O'Connor,J O'Connor,,,,,True,
DENA-HQ-TX-12,6/22/2023 12:50:44 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HQ-TX-19,6/22/2021 5:34:49 PM,,,,,,,,,,,,,0,K Gates; J OConnor,J OConnor,,,,,True,
DENA-HQ-TX-10,6/24/2021 2:38:39 PM,,,,,,,,,,,,,0,J Barnes; K Gates; J O'Connor,J O'Connor,,,,,True,
DENA-HQ-TX-10,6/27/2023 12:16:25 PM,,,,,,,,,,,,,0,,,,,,,True,
A185-86-136,7/26/2011 11:00:42 AM,,,,,,,,,,,,,0,,,,,,,True,
