MacroPlot Name,Date,Index,Transect,Point,Meter,Depth_Active_Layer_cm,Active_Layer_Boundary,Surface_Layer_Code,pH_soil,Percent_Moisture_Soil,Period_Moisture_Soil,Soil_temperature_C,Comments,UV1,UV2,UV3,Num_Transects,Transect_Length_m,Soil_Temperature_Depth_cm,Soil_Moisture_Depth_cm,Visited,
NOAT-SID-G06,6/24/2011 10:03:58 AM,-2147483642,1,4,,,,SM,,25,0.95,,SPHAG,6,,,,,,,,
NOAT-SID-G06,6/24/2011 10:03:58 AM,-2147483641,1,4,,,,SM,,63,1.15,2.4,SPHAG,12,,,,,,,,
NOAT-SID-G06,6/24/2011 10:03:58 AM,-2147483640,1,5,,,,SM,,21,0.93,,SPHAG,6,,,,,,,,
NOAT-SID-G06,6/24/2011 10:03:58 AM,-2147483639,1,5,,,,SM,,61,1.14,3.7,SPHAG,12,,,,,,,,
NOAT-SID-G06,6/24/2011 10:03:58 AM,-2147483638,1,,,,,,,,,,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,,,,,,,,,,,,,,,,1,30,12,12,True,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483648,1,1,3,45,PF,UD,,,,5.3,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483647,1,2,6,55,PF,UD,,,,8.2,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483646,1,3,9,68,PF,UD,,,,5.1,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483645,1,4,12,61,PF,SM,,,,12,Sphag was charred/dead.,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483644,1,5,15,63,PF,Tussock,,,,12.4,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483643,1,6,18,58,PF,LC,,,,9.9,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483642,1,7,21,53,PF,Liverwort,,,,7.2,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483641,1,8,24,75,PF,SM,,,,15.1,On Sphag pillow.,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483640,1,9,27,54,PF,Liverwort,,,,9.3,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483639,1,10,29,50,PF,FM,,,,8.7,,,,,,,,,,
LACL-CUR-C07,6/19/2014 10:14:33 AM,,,,,,,,,,,,,,,,1,30,12,,True,
LACL-CUR-C07,6/19/2014 10:14:33 AM,-2147483648,1,1,5,45,PF,UD,,,,3.8,Unburned,19,19,,,,,,,
LACL-CUR-C07,6/19/2014 10:14:33 AM,-2147483647,1,2,10,24,PF,LTRH,,,,3.9,Unburned,18,18,,,,,,,
LACL-CUR-C07,6/19/2014 10:14:33 AM,-2147483646,1,3,16,45,PF,FM,,,,6.1,,32,35,,,,,,,
LACL-CUR-C07,6/19/2014 10:14:33 AM,-2147483645,1,4,20,30,PF,LTRNDL,,,,3.4,,23,24,,,,,,,
LACL-CUR-C07,6/19/2014 10:14:33 AM,-2147483644,1,5,25,26,PF,UD,,,,4.1,,17,30,,,,,,,
A185-86-137,7/7/2005 1:40:42 PM,,,,,,,,,,,,,,,,1,30,,,True,
A185-86-137,7/7/2005 1:40:42 PM,-2147483648,1,1,3,79,UNK,,,,,,Mineral Soil,,,,,,,,,
