MacroPlot Name,Date,Index,Transect,SampLoc,OffSet,LittDep,LiveMoss,DeadMoss,UppDuffDep,LowDuffDep,LichDep,FuelbedDep,ExpDLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-HZF-Z2-14,7/24/2009 2:19:15 PM,,,,,,,,,,,,,,,,,1,J Mitchell; C Campanelli; B McCreary; H Bradshaw; M Llanes,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HZF-Z2-14,7/24/2009 2:19:15 PM,-2147483648,1,1,False,,,,,9,,9,Default,,,,0m,,,,,,,,,
DENA-HZF-Z2-14,7/24/2009 2:19:15 PM,-2147483647,1,2,False,,,,,,,0,Default,bare ground,,,16m,,,,,,,,,
DENA-HZF-Z2-14,9/2/2021 7:23:19 PM,,,,,,,,,,,,,,,,,1,J Barnes; V Belser,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HZF-Z2-14,9/2/2021 7:23:19 PM,-2147483648,1,1,False,2,,,6,1,,9,Default,,,LTRNDL/CONE,0m,,,,,,,,,
DENA-HZF-Z2-14,9/2/2021 7:23:19 PM,-2147483647,1,2,False,2,3,1,8,2,,16,Default,,,HYSP,16m,,,,,,,,,
DENA-TLS-27,6/21/2022 12:21:02 PM,,,,,,,,,,,,,,,,,1,J. Barnes; T. Schaub; M. Behrens,T. Schaub,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
DENA-TLS-27,6/21/2022 12:21:02 PM,-2147483648,1,1,False,0,4,5,11,6,0,26,Default,,,,,,,,,,,,,
DENA-TLS-27,6/21/2022 12:21:02 PM,-2147483647,1,2,False,0,3,4,7,6,0,20,Default,,,,,,,,,,,,,
A223-86-227,7/15/2005 8:34:35 AM,,,,,,,,,,,,,,,,,1,Stinchfield/Parker,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
