MacroPlot Name,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-TLS-31,6/27/2022 1:48:28 PM,,,,,,,,,,,,,1,6,6,12,M. Behrens; T. Schaub,M. Behrens,,,,,True,
DENA-TLS-31,6/27/2022 1:48:28 PM,-2147483648,1,180,2,4,2,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-14,6/22/2021 3:05:05 PM,,,,,,,,,,,,,1,6,6,12,J Hrobak; M Neuser,J O'Connor,,,,,True,
DENA-HQ-TX-14,6/22/2021 3:05:05 PM,-2147483648,1,180,0,4,2,1,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-14,6/28/2023 1:00:58 PM,,,,,,,,,,,,,1,6,6,12,,S. Stehn,,,,,True,
DENA-HQ-TX-14,6/28/2023 1:00:58 PM,-2147483648,1,180,0,7,3,2,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-08,6/12/2003 5:28:06 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-08,6/12/2003 5:28:06 PM,-2147483648,1,360,1,2,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-08,6/14/2005 2:31:36 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-08,6/14/2005 2:31:36 PM,-2147483648,1,180,2,3,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-08,7/21/2009 4:02:29 PM,,,,,,,,,,,,,1,6,6,12,J Mitchell; C Campanelli; R Wilson; M Llanes; B McCreary; C Reynar,J OConnor,,,,,True,
DENA-HZF-Z3-08,7/21/2009 4:02:29 PM,-2147483648,1,180,2,0,1,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-08,8/12/2021 7:22:50 PM,,,,,,,,,,,,,1,6,6,12,J OConnor,J OConnor,,,,,True,
DENA-HZF-Z3-08,8/12/2021 7:22:50 PM,-2147483648,1,180,2,1,0,0,Default,,,,,,,,,,,,,,,,
A185-86-123,7/26/2011 3:35:14 PM,,,,,,,,,,,,,1,6.6,6.6,13.1,,,,,,,True,
A185-86-123,7/26/2011 3:35:14 PM,-2147483648,1,60,1,28,1,1,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-29,6/22/2003 6:02:49 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-29,6/22/2003 6:02:49 PM,-2147483648,1,180,4,10,2,1,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-29,6/15/2005 3:51:43 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-29,6/15/2005 3:51:43 PM,-2147483648,1,180,3,30,3,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-29,7/24/2009 5:09:31 PM,,,,,,,,,,,,,1,6,6,12,R Wilson; M Llanes; C Campanelli; H Bradshaw,J Mitchell,,,,,True,
DENA-HZF-Z3-29,7/24/2009 5:09:31 PM,-2147483648,1,174,4,40,1,1,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-29,7/14/2021 7:21:49 PM,,,,,,,,,,,,,1,6,6,12,J OConnor,J OConnor,,,,,True,
DENA-HZF-Z3-29,7/14/2021 7:21:49 PM,-2147483648,1,180,10,4,0,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-22,6/21/2021 5:41:10 PM,,,,,,,,,,,,,1,6,6,12,J Barnes,J OConnor,,,,,True,
DENA-HQ-TX-22,6/21/2021 5:41:10 PM,-2147483648,1,180,0,51,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-30RL,8/18/2003 6:07:00 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-30RL,8/18/2003 6:07:00 PM,-2147483648,1,0,0,0,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-30RL,6/15/2005 3:56:43 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-30RL,6/15/2005 3:56:43 PM,-2147483648,1,180,0,4,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-30RL,7/25/2009 4:46:09 PM,,,,,,,,,,,,,1,6,6,12,R Willson,J Mitchell,,,,,True,
DENA-HZF-Z3-30RL,7/25/2009 4:46:09 PM,-2147483648,1,220,5,6,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-30RL,8/11/2021 7:04:07 PM,,,,,,,,,,,,,1,6,6,12,J OConnor; R Nessle,J OConnor,,,,,True,
DENA-HZF-Z3-30RL,8/11/2021 7:04:07 PM,-2147483648,1,180,0,4,0,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-28,6/24/2021 5:48:31 PM,,,,,,,,,,,,,1,6,6,12,J Hrobak; M Neuser,J OConnor,,,,,True,
DENA-HQ-TX-28,6/24/2021 5:48:31 PM,-2147483648,1,180,0,8,4,1,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-28,6/27/2023 2:49:21 PM,,,,,,,,,,,,,1,6,6,12,,S. Stehn,,,,,True,
DENA-HQ-TX-28,6/27/2023 2:49:21 PM,-2147483648,1,187,1,5,0,1,Default,,,,,,,,,,,,,,,,
DENA-HZF-C-15,7/24/2009 5:40:43 PM,,,,,,,,,,,,,1,6,6,12,J Mitchell; M Llanes; C Campanelli; H Bradshaw; R Wilson,J OConnor,,,,,True,
DENA-HZF-C-15,7/24/2009 5:40:43 PM,-2147483648,1,180,2,3,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-C-15,7/15/2021 3:49:50 PM,,,,,,,,,,,,,1,6,6,12,J. O'Connor,J. Hrobak,,,,,True,
DENA-HZF-C-15,7/15/2021 3:49:50 PM,-2147483648,1,180,2,3,0,0,Default,,,,,,,,,,,,,,,,
A391-90-57,7/27/2011 9:37:28 AM,,,,,,,,,,,,,1,6.6,13.1,98,,,,,,,True,
A391-90-57,7/27/2011 9:37:28 AM,-2147483648,1,310,0,3,0,4,Default,,,,,,,,,,,,,,,,
DENA-A274-H2,7/21/2016 12:57:05 PM,,,,,,,,,,,,,1,6,6,12,Jennifer Hrobak; Jennifer Barnes,J. Hrobak,,,,,True,
DENA-A274-H2,7/21/2016 12:57:05 PM,-2147483648,1,340,0,0,0,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-21,6/21/2021 5:39:23 PM,,,,,,,,,,,,,1,6,6,12,J Barnes; K Gates; K Cowan; R Nessel; J OConnor,J OConnor,,,,,True,
DENA-HQ-TX-21,6/21/2021 5:39:23 PM,-2147483648,1,180,0,9,3,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-C-09,7/24/2009 5:40:11 PM,,,,,,,,,,,,,1,6,6,12,J Mitchell; M Llanes; C Campanelli; H Bradshaw; B McCreary,J OConnor,,,,,True,
DENA-HZF-C-09,7/24/2009 5:40:11 PM,-2147483648,1,180,2,9,2,1,Default,,,,,,,,,,,,,,,,
DENA-HZF-C-09,8/12/2021 3:36:50 PM,,,,,,,,,,,,,1,6,6,12,R. Nessle; J. O'Connor,J. Hrobak,,,,,True,
DENA-HZF-C-09,8/12/2021 3:36:50 PM,-2147483648,1,180,2,1,3,0,Default,,,,,,,,,,,,,,,,
DENA-TLS-28,8/30/2022 5:56:37 PM,,,,,,,,,,,,,1,6,6,12,M. Behrens; T. Schaub; K. Gates,M. Behrens,,,,,True,
DENA-TLS-28,8/30/2022 5:56:37 PM,-2147483648,1,180,15,1,0,0,Default,,,,,,,,,,,,,,,,
DENA-TLS-24,6/23/2022 6:49:20 PM,,,,,,,,,,,,,1,6,6,12,J. Barnes; T. Schaub; M. Behrens,T. Schaub,,,,,True,
DENA-TLS-24,6/23/2022 6:49:20 PM,-2147483648,1,180,1,2,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-07,6/14/2005 2:20:45 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-07,6/14/2005 2:20:45 PM,-2147483648,1,180,18,21,2,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-07,7/23/2009 3:54:00 PM,,,,,,,,,,,,,1,6,6,12,J Mitchell; C Campanelli; R Wilson; M Llanes,J Mitchell,,,,,True,
DENA-HZF-Z3-07,7/23/2009 3:54:00 PM,-2147483648,1,180,13,6,0,2,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-07,8/12/2021 7:22:58 PM,,,,,,,,,,,,,1,6,6,12,J OConnor,J OConnor,,,,,True,
DENA-HZF-Z3-07,8/12/2021 7:22:58 PM,-2147483648,1,189,13,3,0,0,Default,,,,,,,,,,,,,,,,
DENA-TLS-37,7/12/2022 2:25:04 PM,,,,,,,,,,,,,1,6,6,12,M Behrens T Schaub,M Behrens,,,,,True,
DENA-TLS-37,7/12/2022 2:25:04 PM,-2147483648,1,180,32,42,0,0,Default,,,,,,,,,,,,,,,,
DENA-TLS-33,8/2/2022 5:11:49 PM,,,,,,,,,,,,,1,6,6,12,M behrens T schaub R brand N tilges,M behrens,,,,,True,
DENA-TLS-33,8/2/2022 5:11:49 PM,-2147483648,1,180,0,3,0,0,Default,,,,,,,,,,,,,,,,
A185-86-143,7/26/2011 1:49:22 PM,,,,,,,,,,,,,1,6.6,6.6,13.1,,,,,,,True,
A185-86-143,7/26/2011 1:49:22 PM,-2147483648,1,60,3,1,3,0,Default,,,,,,,,,,,,,,,,
DENA-TLS-25,8/30/2022 12:44:15 PM,,,,,,,,,,,,,1,6,6,12,K. Gates,T. Schaub,,,,,True,
DENA-TLS-25,8/30/2022 12:44:15 PM,-2147483648,1,180,1,24,4,5,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-02,6/23/2021 6:06:44 PM,,,,,,,,,,,,,1,6,6,12,J Barnes; K Gates; J O'Connor,J O'Connor,,,,,True,
DENA-HQ-TX-02,6/23/2021 6:06:44 PM,-2147483648,1,180,5,9,1,1,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-02,7/28/2023 7:22:29 PM,,,,,,,,,,,,,1,6,6,12,,S. Stehn,,,,,True,
DENA-HQ-TX-02,7/28/2023 7:22:29 PM,-2147483648,1,180,3,39,4,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-19RL,8/16/2003 9:43:41 AM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-19RL,8/16/2003 9:43:41 AM,-2147483648,1,0,0,0,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-19RL,7/24/2005 3:28:49 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-19RL,7/24/2005 3:28:49 PM,-2147483648,1,180,0,2,0,0,Default,,,,,,,,,,,,,,,,
